ID;Codeur;Economisch_Ja;date;Day_in_2015;Source;outlet;headline;Toon_Kop;Hoofd_OW;Posit_Nega
150282316;14;0;2/1/2015;32;0;2;Rinnooy Kan stijgt op lijst; ; ; 
150282311;14;0;2/1/2015;32;0;2;"De Grieken achterna; Podemos-leider Iglesias krijgt tienduizenden op de been"; ; ; 
150282317;14;1;2/1/2015;32;0;2;"Personeel weggekaapt; Buitenland zit te springen om Nederlandse specialisten";0;11;9
150282315;14;1;2/1/2015;32;0;2;Bar en boos;0;36;9
150282314;14;1;2/1/2015;32;0;2;'Onderliggend is er veel aan de hand';3;57;9
150282313;14;1;2/1/2015;32;0;2;Droompakket Rutte II;4;2;4
150282312;14;1;2/1/2015;32;0;2;Schandaal;0;2;9
2,01502013014172E+017;30;1;2/1/2015;32;1;130; ;2;10;9
2,01502012512091E+017;30;1;2/1/2015;32;1;125; ;0;20;9
10001;21;0;2/1/2015;32;2;24;'Bewijs' oerknal onderuit gehaald; ; ; 
20629;21;1;2/1/2015;32;2;22;'Onderliggend gebeurt er veel';9;25;9
15003;21;0;2/1/2015;32;2;26;Video: eerst lagen hier ebolapatiënten, nu mogen er weer kinder; ; ; 
20635;33;0;2/1/2015;32;2;22;FOTO Red Bull test 'zebra-bolide'; ; ; 
34537;35;1;2/1/2015;32;2;25;De Griekse crisis is ook onze crisis;0;8;9
10003;21;0;2/1/2015;32;2;24;Ontvoerde VN'ers Sudan vrijgelaten; ; ; 
20641;21;1;2/1/2015;32;2;22;Rentedip drama voor pensioenpotje;0;27;0
15005;21;0;2/1/2015;32;2;26;Topman Van Wingerden mag de problemen van BAM oplossen; ; ; 
20643;33;1;2/1/2015;32;2;22;Krimp bedrijvigheid Chinese industrie;0;3;9
15007;21;0;2/1/2015;32;2;26;Djokovic schrijft geschiedenis - wint Australian Open voor vijfd; ; ; 
20647;35;1;2/1/2015;32;2;22;Van Boxtel: lager eigen risico;1;58;9
34541;9;0;2/1/2015;32;2;25;Grote staking in olie-industrie VS; ; ; 
15011;6;1;2/1/2015;32;2;26;Zo ziet het verschil tussen Noord- en Zuid-Europa eruit;1;10;9
34547;32;0;2/1/2015;32;2;25;Beeld van oerknal blijkt stof Melkweg; ; ; 
20659;29;0;2/1/2015;32;2;22;Simon gehypnotiseerd door hond; ; ; 
20661;32;1;2/1/2015;32;2;22;Frankrijk wil nieuwe deal voor Griekenland;1;10;9
15013;21;0;2/1/2015;32;2;26;Frankrijk wil Grieken helpen met nieuwe deal; ; ; 
20667;32;0;2/1/2015;32;2;22;'Fransen breken KLM-verzet'; ; ; 
34553;9;0;2/1/2015;32;2;25;Ajax verliest zichzelf en kan titel al vergeten; ; ; 
150293218;16;0;2/2/2015;33;0;9;Links Spanje ruikt kans; ; ; 
150293216;16;0;2/2/2015;33;0;9;Universitaire bibliotheek Moskou gaat in vlammen op; ; ; 
150293215;16;0;2/2/2015;33;0;9;Kiezen tussen Izmir en Leerdam; ; ; 
150293214;16;0;2/2/2015;33;0;9;Zoekenden krijgen even een thuis; ; ; 
150293212;16;0;2/2/2015;33;0;9;Daders vergelijk je met daders; ; ; 
150293210;16;0;2/2/2015;33;0;9;'Strafzaak Fortis loopt vertraging op'; ; ; 
150293209;16;0;2/2/2015;33;0;9;Het Blauwe Hart; ; ; 
150293208;16;0;2/2/2015;33;0;9;Bewind Burma zetelt in een lege stad; ; ; 
150292300;16;0;2/2/2015;33;0;3;Podemos kraait nu al victorie; ; ; 
150292299;16;0;2/2/2015;33;0;3;'Al die partijen hebben dezelfde vijand'; ; ; 
150292298;16;0;2/2/2015;33;0;3;De top-8; ; ; 
150292296;16;0;2/2/2015;33;0;3;[Inhoud Ten eerste2-11/14-15 Uitgelicht12-13 Opinie...]*; ; ; 
150292295;16;0;2/2/2015;33;0;3;DSK's dossier leest als slechte porno; ; ; 
150292291;16;0;2/2/2015;33;0;3;Beeld van oerknal blijkt stof Melkweg; ; ; 
150290221;16;0;2/2/2015;33;0;1;Elk plan om te besparen strandt in de Eerste Kamer; ; ; 
150290220;16;0;2/2/2015;33;0;1;'Wat die Grieken kunnen, kunnen we ook in Spanje'; ; ; 
150290217;16;0;2/2/2015;33;0;1;Gasexplosie jaagt 150 man hun huis uit; ; ; 
150290212;16;0;2/2/2015;33;0;1;Loopbaan eindigde in Hotel Sofitel; ; ; 
150290211;16;0;2/2/2015;33;0;1;Paspoort; ; ; 
150290210;16;0;2/2/2015;33;0;1;Na steun in 2011 volgt scheiding; ; ; 
150288239;16;0;2/2/2015;33;0;10;Minister, blogger, geen radicaal; ; ; 
150288238;16;0;2/2/2015;33;0;10;Explosie: ravage en dertien gewonden; ; ; 
