id,date,headline,mediumid,medium,creator,byline,addressee,section,url,length,page,text
150050960,2015-06-09T00:00:00,Verrassend verweven; 'Het meisje in de trein',6,De Telegraaf,,,,Kunst; Blz. 11,,243,,"Wie:  Paula Hawkins Wat:  thriller

Het verhaal wordt knetterspannend verteld aan de hand van de simultane
belevenissen van drie heel verschillende vrouwelijke hoofdpersonen: Rachel, Anne
en Megan.

Rachel is een alcoholiste die dagelijks in de trein langs haar eigen vroegere
huis komt, waar Anne woont met Tom, de ex-man van Rachel. Rachel is behalve haar
huwelijk ook haar baan kwijt doordat ze een keer dronken op het werk kwam. Ze
maakt toch nog dagelijks de treinreis naar hartje Londen omdat ze voor de
vriendin bij wie ze inwoont verborgen houdt dat ze werkloos is.

Anne is een blonde schoonheid die moeder is geworden en zichzelf nu een veel
minder spannende vrouw vindt dan in de tijd dat ze Tom verleidde tot overspel.
Ze heeft haar carrière als makelaar opgegeven en wacht feitelijk de hele dag op
de thuiskomst van Tom. Haar gezin lijdt onder het stalkgedrag van Rachel, die
haar ex-man nauwelijks los lijkt te kunnen laten.

En dan is er Megan, die in het rijtje huizen langs de spoorbaan haar leven leidt
met Scott. Zij lijken een ideale relatie te hebben en Rachel kijkt vol hunkering
naar de twee die 's ochtends gezellig samen in de tuin koffie drinken. Het
plaatje wordt verstoord als Rachel Megan op een ochtend in de tuin ziet zoenen
met een andere man en ze korte tijd later in de krant leest dat Megan wordt
vermist.

Rachel gaat zich ermee bemoeien en iedereen blijkt verrassend met elkaar
verweven.

LANGUAGE: DUTCH; NEDERLANDS"
150050962,2015-06-09T00:00:00,Oud-KLM-baas: Discussie over staatsgaranties onzin; Politiek heeft niets te zeggen over bedrijfsbeslissingen Air France,6,De Telegraaf,,,,Nieuws; Blz. 4,,326,,"Yteke de Jong  Miami  Oud-topman Leo van Wijk van KLM vindt de discussie over de
staatsgaranties 'onzin'. Van Wijk verkocht KLM in 2004 aan Air France en is nog
altijd toezichthouder bij de Nederlands-Franse luchtvaartcombinatie. Daarbij
werden garanties gesteld om de positie van KLM veilig te stellen.   Die
staatsgaranties zijn voor de bühne van de politiek , zegt hij in een gesprek met
De Telegraaf in de marge van de internationale luchtvaartconferentie in Miami.
De ontwikkeling van het routenetwerk, de werkgelegenheid, dat zijn
bedrijfsmatige beslissingen, die bij de onderneming liggen. Zoiets kun je als
Staat nooit afdwingen.

De Tweede Kamer discussieerde afgelopen donderdag over deze afspraken uit 2004
en 2010, die 'boterzacht' zouden zijn. De politiek is bang dat KLM wordt
uitgehold ten faveure van zustermaatschappij Air France. Staatssecretaris
Mansveld (Infrastructuur) zei vorige week dat de garanties uit het verleden niet
opnieuw vastgelegd hoeven te worden.  Een huwelijkscontract hoef je niet opnieuw
te tekenen , aldus Mansveld.

Volgens Van Wijk kan de overheid alleen invloed uitoefenen op de
landingsrechten. De Nederlandse Staat heeft nog 5,9% van de aandelen in KLM.
Volgens critici heeft Van Wijk KLM te goedkoop van de hand gedaan, omdat hij met
de rug tegen de muur stond na het afspringen van de overname van Alitalia. Bij
de Nederlandse luchtvaartmaatschappij wijst men op het succes dat de
samenwerking met Air France heeft gebracht, onder meer een verdubbeling van de
omzet.

In 2004 werden er door Van Wijk aanvankelijk geen afspraken gemaakt over de
gelijkmatige ontwikkeling van Air France en KLM. Daar was het kabinet destijds
niet tevreden mee en stuurde toenmalig Oeso-ambassadeur Frans Engering achteraf
naar Parijs om alsnog afspraken vast te leggen. In 2010 werden deze afspraken
deels verlengd, maar er werden ook oude afspraken geschrapt, onder meer over het
aantal bestemmingen.

LANGUAGE: DUTCH; NEDERLANDS"
163393880,2015-07-08T00:00:00,Betere tijden voor de uitzendbranche,11,Metro,,,,inhetnieuws7_finance; Blz. 7,,133,,"De werkgelegenheid voor uitzendkrachten is in de eerste helft van dit jaar met
11 procent op jaarbasis gestegen. De omzet van uitzendbureaus lag 12 procent
hoger dan in de eerste helft van 2014. Dat blijkt uit cijfers die
brancheorganisatie ABU dinsdag heeft gepubliceerd.

In de afgelopen periode (week 21 tot en met 24) lag het aantal uitzenduren 9
procent hoger dan een jaar eerder, wat uitzendbureaus 10 procent meer omzet
opleverde. Met name de techniekbranche droeg daar aan bij. Daar nam het aantal
gewerkte uren met 23 procent toe en de omzet met 20 procent. In de
administratieve sector was dat respectievelijk 10 en 11 procent en in de
industrie 6 en 7 procent. anp

De omzet van uitzendbureaus lag 12 procent hoger dan in de eerste helft van
2014. /ANP

LANGUAGE: DUTCH; NEDERLANDS"
163393883,2015-06-30T00:00:00,Motivatietrainingen voor werkloze jongeren,11,Metro,,,,rotterdamwerkt; Blz. 20,,240,,"Unique-intercedent Stephanie Link heeft zojuist het intakegesprek met een
vijftiental buddy-kandidaten afgerond. Voor de werkloze jongeren, via de
gemeente naar het uitzendbureau verwezen, was het hun tweede ontmoeting met
Unique.

Hierna volgen acht weken vol intensieve trainingen met slechts één doel: het
vinden van een betaalde baan.

Geheel vrijblijvend zijn die trainingen overigens niet. Wie niet meewerkt, wordt
eventueel gekort op zijn uitkering. Maar dat pressiemiddel is eigenlijk niet
nodig, aldus Stephanie.  De jongeren die wij begeleiden zijn niet werkschuw; ze
hebben alleen moeite een baan te vinden.

Soms zijn ze daardoor wat teleurgesteld geraakt in de maatschappij. Want als je
na een jaar solliciteren nog steeds werkloos op de bank zit, is het niet gek dat
de moed je soms in de schoenen zakt , zegt Stephanie.

De trainingen zijn er dan ook vooral op gericht om positiever te worden. En om
jezelf beter te kunnen verkopen op de arbeidsmarkt.

Het doel van het Buddyproject is om zoveel mogelijk jongeren via Randstad en
Unique vanuit de uitkering naar een baan te begeleiden.

Elke dag dat de jongere werkt, voegt een ervaring toe aan zijn zelfvertrouwen en
CV. De intentie is dat via het project Randstad 55 jongeren en Unique 30
jongeren begeleidt en aan werk helpt. metro

Stephanie Link van Unique.

/ Vincent van Dordrecht

LANGUAGE: DUTCH; NEDERLANDS"
163393884,2015-06-29T00:00:00,"Flexwet treedt in werking: bonden blij, bazen sceptisch",11,Metro,,,,inhetnieuws8_carriere; Blz. 8,,677,,"Werk. Heb je een tijdelijk contract? Dan gaat er vanaf woensdag het nodige voor
je veranderen. De flexwet in vier vragen.

Waarom komt die flexwet er eigenlijk?

Het is het paradepaardje van minister Asscher van Sociale Zaken en
Werkgelegenheid. Met de flexwet (officieel heet `ie trouwens Wet Werk en
Zekerheid) wil hij de groeiende kloof tussen vaste werknemers en
uitzendkrachten, payrollers en mensen met tijdelijke contracten kleiner maken.
Al bijna een kwart van de werkenden in ons land heeft zo'n tijdelijke
aanstelling, in 2004 was dat nog 15 procent. De nieuwe wet moet er voor zorgen
dat al die flexwerkers sneller een vast contract krijgen.

Maar ik heb al een vast contract. Verandert er iets voor mij?

Niet veel, totdat een werkgever van je af wil.  De ontslagvergoeding gaat
verdwijnen , zegt Olav Wagenaar van DAS.  In plaats daarvan krijgen we de
transitievergoeding, die gebruikt kan worden om je bij te scholen en een andere
baan te zoeken. Je mag die vergoeding overigens ook gebruiken voor een vakantie
of het aflossen van een lening. Hiervoor geldt een vaste formule waar een
rechter niet van mag afwijken. Hoe langer je in dienst bent, hoe hoger de
vergoeding. Daarvoor geldt straks wel een maximum van 75.000 euro of één
jaarsalaris, voor mensen die meer verdienen dan die 75.000 euro. Bij zeer
ernstig verwijtbaar gedrag van een medewerker dat in een dossier is vastgelegd,
hoeft de werkgever geen transitievergoeding te betalen , aldus Wagenaar. Ook
wordt duidelijker bij welk loket een bedrijf moet aankloppen bij ontslag. Als
het gaat om bedrijfseconomische redenen en ontslag na langdurige ziekte is dat
het UWV. In alle andere situaties komt de kantonrechter er aan te pas.

Ik ben flexwerker. Ga ik er op vooruit?

Nu nog mag een bedrijf je in drie jaar tijd drie tijdelijke contracten
aanbieden. Die periode wordt verlaagd naar twee jaar. Dan moet een werkgever je
een vaste aanstelling geven. Of hij stuurt je weg, dat kan ook. Maar dan heb je
als flexwerker voortaan wel recht op een transitievergoeding.  Wil de werkgever
je weer tijdelijk in dienst nemen, dan zal hij zes maanden moeten wachten. Nu
nog geldt een periode van drie maanden , aldus Wagenaar. Sinds 1 januari moet
een werkgever overigens al schriftelijk en minimaal een maand voor het aflopen
van het tijdelijke contract laten weten of hij gaat verlengen of er een punt
achter zet.  Verder is vanaf woensdag een proeftijd alleen nog toegestaan in
arbeidscontracten van meer dan zes maanden en verdwijnt het concurrentiebeding
voor mensen met een tijdelijke aanstelling.

Wat vindt men van de nieuwe wet?

De meningen zijn behoorlijk verdeeld. Vakbonden zijn blij, werkgevers vooralsnog
erg sceptisch. Met de nieuwe wet wil minister Asscher vooral het aantal vaste
contracten een boost geven. Maar belangrijke adviesorganen als De Raad van State
en het Centraal Planbureau betwijfelen of die er gaan komen. Zij pleiten voor
een nog veel grotere hervorming van de arbeidsmarkt. Bij een speciaal meldpunt
van vakbond CNV kwamen de afgelopen maanden al honderden klachten binnen over
organisaties die nog even snel hun flexkrachten lozen, zodat ze straks niet aan
een transitievergoeding vastzitten. Veel experts vrezen dan ook dat deze
flexwerkers contracten krijgen die bij elkaar opgeteld na één jaar en elf
maanden aflopen. Doei, zegt de werkgever dan. En die transitievergoeding heeft
hij zo slim omzeild.  Dat de inzet van flexwerkers op plekken waar langdurig
vast werk aanwezig is wordt bemoeilijkt, is een terechte keuze , zegt Wagenaar.
Temeer omdat werknemers zonder vast dienstverband nauwelijks mogelijkheden
hebben om bijvoorbeeld een hypotheek aan te gaan. Anderzijds zie je dat steeds
meer mensen juist heel bewust kiezen voor geen vast dienstverband. Helaas biedt
deze wet nog geen passende oplossing voor die ontwikkeling.

Minister Lodewijk Asscher van Sociale Zaken en Werkgelegenheid is geestelijk
vader van de nieuwe flexwet die vanaf woensdag geldt. /ANP

LANGUAGE: DUTCH; NEDERLANDS"
163393886,2015-06-05T00:00:00,Kwart Nederlanders verdient minder,11,Metro,,,,inhetnieuws; Blz. 5,,61,,"Armer

Een kwart van de mensen in Nederland heeft de afgelopen drie jaar zijn inkomen
fors zien dalen. De belangrijkste redenen voor deze achteruitgang zijn
werkloosheid, arbeidsongeschiktheid of een andere baan met minder salaris. Bij
de meeste mensen daalde het inkomen tussen de 15 en 30 procent. Bijna de helft
komt na een terugval in inkomen moeilijk rond. anp

LANGUAGE: DUTCH; NEDERLANDS"
163393887,2015-06-02T00:00:00,Tegen pesten,11,Metro,,,,inhetnieuws; Blz. 2,,59,,"Naar schatting een half miljoen Nederlanders worden op de werkvloer gepest. Om
dit probleem aan te pakken gaf minister Lodewijk Asscher (Sociale Zaken en
Werkgelegenheid) gisteren de aftrap voor een landelijke campagne.

In de strijd tegen pesten kunnen werkgevers en werknemers sinds gisteren terecht
op de website

www.herkenpesten.nl.

LANGUAGE: DUTCH; NEDERLANDS"
163393888,2015-06-02T00:00:00,Regels Nationale Hypotheek Garantie veranderen,11,Metro,,,,inhetnieuws; Blz. 4,,472,,"Het bedrag voor lenen met de Nationale Hypotheek Garantie wordt per 1 juli
verlaagd. Wat betekent dat? SNS legt uit.

Wat is de Nationale Hypotheek Garantie?

Wie een huis wil kopen kan in aanmerking komen voor de Nationale Hypotheek
Garantie (NHG). De NHG biedt zekerheid, zowel voor degene die de hypotheek
verstrekt als degene die het geld leent.

Welke zekerheden?

Het kan gebeuren dat je door omstandigheden de maandlasten niet meer kan betalen
en je huis moet verkopen. Levert de verkoop niet genoeg op om je hypotheekschuld
volledig af te lossen, dan betaalt het Waarborgfonds Eigen Woningen van de NHG
onder voorwaarden het verschil aan de hypotheekverstrekker uit. De schuld die
jij hierdoor krijgt kan onder voorwaarden worden kwijtgescholden. Ook kan je
korting op je rente krijgen, wat al snel honderden euro's per jaar kan schelen
(www.nhg.nl).

Geldt NHG alleen bij het kopen van een huis?

Nee, ook bij een verbouwing of het oversluiten van je hypotheek kun je de
mogelijkheden bekijken.

Tot welk bedrag kom ik nu voor de NHG in aanmerking en welk bedrag per 1 juli?

Nu is dat 265.000 euro. Vanaf 1 juli is het bedrag 245.000 euro, inclusief de
bijkomende kosten. NHG houdt voor de bijkomende kosten rekening met 6 procent
van de koopsom. Dat betekent dat je tot 1 juli een huis kunt kopen van 250.000
euro en na 1 juli een huis kopen van ongeveer 231.132 euro. Wie een
NHG-hypotheek afsluit betaalt overigens eenmalig 1 procent over je
hypotheekbedrag.

Waarom wordt het NHG-bedrag eigenlijk verlaagd?

In 2009 verhoogde de overheid het NHG-bedrag naar 350.000 euro om meer mensen de
kans te geven om een hypotheek te krijgen voor hun huis. Door de kredietcrisis
was dat lastiger. Het kabinet wil het bedrag aanpassen aan de gemiddelde
woningprijs. Door de verlaging van de NHG-grens wordt het financieel risico voor
de Staat beperkt. De NHG is tenslotte ingesteld voor een bepaalde groep
potentiële huizenkopers, met name de starters.

Moet ik mijn wensen voor een droomhuis nu al bijstellen of kan ik letterlijk tot
1 juli van het bedrag van 265.000 euro profiteren?

Nu kan dat inderdaad nog. De datum van de hypotheekofferte is leidend bij de
bepaling of je voor NHG in aanmerking komt, dus zorg er voor dat je
hypotheekofferte voor 1 juli 2015 door de bank is uitgegeven en binnen de
gestelde termijn hebt getekend.

Waarom zou ik een hypotheek van SNS Bank nemen?

SNS Bank houdt een hypotheekactie. De rente op een SNS Hypotheek met NHG is
jaren niet zo laag geweest. Bovendien krijg je tot en met 19 juni 2015 bij het
afsluiten van een hypotheek met NHG ook nog een korting op de hypotheekrente.
Bij een SNS-adviseur kun je altijd een afspraak maken voor een gratis
oriëntatiegesprek.

LANGUAGE: DUTCH; NEDERLANDS"
163393889,2015-06-01T00:00:00,Alwéér een afwijzing,11,Metro,,,,inhetnieuws9_carriere; Blz. 9,,371,,"Werkloos. Hoogopgeleid, maar wel al een poosje zonder werk. Het overkomt steeds
meer jongeren.

Engelse Literatuur staat er op zijn cv. In vier jaar tijd haalde hij zowel zijn
bachelor als master. Keurige cijferlijst ook. Zelfs nog nooit een herkansing
hoeven doen. En dus staat de nu 23-jarige Bram Delver in de startblokken, klaar
om een mooie carrière te bouwen. Enig probleem: niemand die het startschot
geeft.

Het verhaal van Delver staat niet op zich. De jeugdwerkloosheid bungelt
momenteel rond de 11 procent en beperkt zich allang niet meer tot de categorie
laagopgeleide jongeren. Ook met een hbo-papiertje of universitair diploma op zak
is het soms lastig om aan de bak te komen.  Als ik mensen vertel dat ik Engels
heb gestudeerd, denkt bijna iedereen dat je leraar wil worden. Maar dat is voor
mij juist uitgesloten. Mijn ambitie ligt in de hoek van de media. Bij een
uitgever, op een redactie, in de marketing of als reclame-maker. Ik weet hoe je
een verhaal opschrijft en kan het bovendien in twee talen.

Afwijzingen

Maar bedrijven houden de deur vooralsnog dicht. Al een jaar lang. Bijna
dagelijks reageert Delver op vacatures die op het scherm van zijn pc langskomen.
In verreweg de meeste gevallen komt er nooit een reactie. Soms wel. Dan blijkt
het een afwijzing op een sollicitatie van vier maanden daarvoor waarvan ik niet
eens meer weet dat ik hem had gestuurd. De reden is eigenlijk altijd hetzelfde:
geen ervaring.

Stagelopen

Ga dan stagelopen, zeggen mensen in zijn omgeving. Maar dat blijkt zo eenvoudig
nog niet.  Ik woon in Hoorn en zal in dat geval waarschijnlijk naar Amsterdam
moeten reizen met de trein. Dat kost me zeker 200 euro per maand. Ongeveer net
zoveel als de hele stagevergoeding en ik moet ook nog de huur betalen.  Op dit
moment houdt Delver zijn hoofd boven water met behulp van een bijbaantje en zo
nu en dan een opdracht als freelancer.  Soms zakt de moed je wel in de schoenen
ja, na de zoveelste afwijzing. Maar ik blijf positief en ga door met
solliciteren. Er komt een dag dat een bedrijf mij die baan wél gunt en dan kan
ik laten zien wat ik waard ben.

Bram Delver (23) is al een jaar op zoek naar werk.

LANGUAGE: DUTCH; NEDERLANDS"
163416234,2015-07-03T00:00:00,Leuren,6,De Telegraaf,,"Jansen, Paul",,Nieuws; Blz. 2,,179,,"Politici willen graag daadkracht uitstralen. Dat geldt zeker voor een minister
van Sociale Zaken die tegen een torenhoge werkloosheid aanhikt. Dus kwam
PvdA-minister Asscher op de proppen met een banenplan. Zeshonderd miljoen euro
trok hij ervoor uit. Of sectoren zich maar wilden inschrijven.

Dat laatste valt vies tegen. Weliswaar meldde Asscher in mei dat de uitvoering
van zijn banenplan echt op stoom begon te komen, maar nu blijkt dat er nog ruim
150 miljoen euro op de plank ligt. De animo loopt terug, de inschrijfperiode is
voorbij. De sociale partners staan niet te springen om nog meer met ontslag
bedreigde werknemers en werklozen klaar te stomen voor een nieuwe baan, als die
er niet is.

Daarom is het vreemd dat Asscher blijft leuren met zijn plan. Hij heeft de
inschrijfperiode nu verlengd tot half september. Alsof het geld op móet.
Coalitiepartner VVD en de oppositie vragen zich af of het geld niet beter kan
worden besteed. De vraag stellen is hem beantwoorden. Succes van beleid wordt
niet afgemeten aan de leegte van de portemonnee.

LANGUAGE: DUTCH; NEDERLANDS"
