"","obs.agr.alpha","est.alpha","ci.boot.alpha","X","Y"
"2.5%",0.0981767180925666,-0.0236289971062826,-0.046048466592671,"text_recessie_gold","text_recessie"
"97.5%",0.0981767180925666,-0.0236289971062826,-0.00240103496023681,"text_recessie_gold","text_recessie"
"2.5%1",0.29312762973352,0.247075017557045,0.20118283611529,"text_boukes_gold","text_boukes"
"97.5%1",0.29312762973352,0.247075017557045,0.287722357330552,"text_boukes_gold","text_boukes"
"2.5%2",0.427068723702665,0.349158221863921,0.306945825791522,"text_LIWC_gold","text_LIWC"
"97.5%2",0.427068723702665,0.349158221863921,0.393209895739489,"text_LIWC_gold","text_LIWC"
"2.5%3",0.373772791023843,0.154510014878093,0.103910918406378,"text_sentistrength_gold","text_sentistrength"
"97.5%3",0.373772791023843,0.154510014878093,0.204024985571053,"text_sentistrength_gold","text_sentistrength"
"2.5%4",0.330995792426367,0.0866145543513873,0.0344288884493941,"text_pattern_gold","text_pattern"
"97.5%4",0.330995792426367,0.0866145543513873,0.137983078125175,"text_pattern_gold","text_pattern"
"2.5%5",0.398316970546985,0.257931008521642,0.208723409303779,"text_polyglot_gold","text_polyglot"
"97.5%5",0.398316970546985,0.257931008521642,0.303322494954619,"text_polyglot_gold","text_polyglot"
"2.5%6",0.365357643758766,0.153635663403792,0.0994949309671501,"text_DANEW_gold","text_DANEW"
"97.5%6",0.365357643758766,0.153635663403792,0.199999013006051,"text_DANEW_gold","text_DANEW"
"2.5%7",0.424263674614306,0.315305477488754,0.268000790730768,"text_top4_gold","text_top4"
"97.5%7",0.424263674614306,0.315305477488754,0.360014621775349,"text_top4_gold","text_top4"
"2.5%8",0.432974137931035,-0.010458321513054,-0.0171153482178282,"title_recessie_gold","title_recessie"
"97.5%8",0.432974137931035,-0.010458321513054,-0.0053687201319377,"title_recessie_gold","title_recessie"
"2.5%9",0.447629310344828,0.0730781801331659,0.0545100832046229,"title_boukes_gold","title_boukes"
"97.5%9",0.447629310344828,0.0730781801331659,0.0936832119960459,"title_boukes_gold","title_boukes"
"2.5%10",0.482327586206897,0.225867625718538,0.198882388323225,"title_LIWC_gold","title_LIWC"
"97.5%10",0.482327586206897,0.225867625718538,0.250587762457078,"title_LIWC_gold","title_LIWC"
"2.5%11",0.451508620689655,0.17887729151105,0.14998900917149,"title_sentistrength_gold","title_sentistrength"
"97.5%11",0.451508620689655,0.17887729151105,0.204744047662867,"title_sentistrength_gold","title_sentistrength"
"2.5%12",0.448706896551724,0.168722047617385,0.141961349576579,"title_pattern_gold","title_pattern"
"97.5%12",0.448706896551724,0.168722047617385,0.19700484003482,"title_pattern_gold","title_pattern"
"2.5%13",0.435129310344828,0.249732744947327,0.221627144902729,"title_polyglot_gold","title_polyglot"
"97.5%13",0.435129310344828,0.249732744947327,0.27557261752234,"title_polyglot_gold","title_polyglot"
"2.5%14",0.44698275862069,0.217975024338449,0.191110730948939,"title_DANEW_gold","title_DANEW"
"97.5%14",0.44698275862069,0.217975024338449,0.245618321865843,"title_DANEW_gold","title_DANEW"
"2.5%15",0.460560344827586,0.297976824248012,0.270310709493623,"title_top4_gold","title_top4"
"97.5%15",0.460560344827586,0.297976824248012,0.324421518486055,"title_top4_gold","title_top4"
"2.5%16",0.636044880785414,-0.0467462640560883,-0.0817861551053824,"text_recessie","text_boukes"
"97.5%16",0.636044880785414,-0.0467462640560883,-0.00822001820144983,"text_recessie","text_boukes"
"2.5%17",0.431977559607293,0.00875735198644179,-0.0115446723011452,"text_recessie","text_LIWC"
"97.5%17",0.431977559607293,0.00875735198644179,0.0284843992977233,"text_recessie","text_LIWC"
"2.5%18",0.389901823281907,-0.0745298110647892,-0.103031647382214,"text_recessie","text_sentistrength"
"97.5%18",0.389901823281907,-0.0745298110647892,-0.0465141634297985,"text_recessie","text_sentistrength"
"2.5%19",0.434782608695652,-0.00674420491003058,-0.0356111883877337,"text_recessie","text_pattern"
"97.5%19",0.434782608695652,-0.00674420491003058,0.0190678196891273,"text_recessie","text_pattern"
"2.5%20",0.424263674614306,0.0270303720872636,0.00347960867353845,"text_recessie","text_polyglot"
"97.5%20",0.424263674614306,0.0270303720872636,0.0509697117972471,"text_recessie","text_polyglot"
"2.5%21",0.420056100981767,0.0213019443941218,-0.00327597657857554,"text_recessie","text_DANEW"
"97.5%21",0.420056100981767,0.0213019443941218,0.0451547182930563,"text_recessie","text_DANEW"
"2.5%22",0.405329593267882,0.0190457397099074,-0.00304274703677378,"text_recessie","text_top4"
